x_m,y_m
-2.000000000000004441e+00,2.300000000000006040e+01
-2.100000000000004974e+00,2.300000000000006040e+01
-2.200000000000005063e+00,2.300000000000006040e+01
-2.300000000000005596e+00,2.300000000000006040e+01
-2.400000000000005684e+00,2.300000000000006040e+01
-2.500000000000005773e+00,2.300000000000006040e+01
-2.600000000000005862e+00,2.300000000000006040e+01
-2.700000000000006395e+00,2.300000000000006040e+01
-2.800000000000006484e+00,2.300000000000006040e+01
-2.900000000000007017e+00,2.300000000000006040e+01
-3.000000000000007105e+00,2.300000000000006040e+01
-3.100000000000007638e+00,2.300000000000006040e+01
-3.204195804195812070e+00,2.300734265734271844e+01
-3.305361305361313118e+00,2.299533799533805833e+01
-3.395337995338003179e+00,2.290536130536136739e+01
-3.407342657342665060e+00,2.280419580419586723e+01
-3.400000000000007461e+00,2.270000000000005969e+01
-3.400000000000007461e+00,2.255000000000006111e+01
-3.400000000000007461e+00,2.245000000000005969e+01
-3.400000000000007461e+00,2.230000000000006111e+01
-3.400000000000007461e+00,2.220000000000005969e+01
-3.400000000000007461e+00,2.210000000000005826e+01
-3.400000000000007461e+00,2.200000000000005684e+01
-3.400000000000007461e+00,2.185000000000005826e+01
-3.400000000000007461e+00,2.175000000000005684e+01
-3.400000000000007461e+00,2.160000000000005826e+01
-3.396853146853154204e+00,2.150000000000005684e+01
-3.410023310023317933e+00,2.140000000000005542e+01
-3.430186480186488307e+00,2.130000000000005755e+01
-3.448018648018656762e+00,2.120000000000005969e+01
-3.454195804195812514e+00,2.110000000000005826e+01
-3.450000000000008171e+00,2.100000000000005684e+01
-3.450000000000008171e+00,2.090000000000005542e+01
-3.450000000000008171e+00,2.080000000000005400e+01
-3.450000000000008171e+00,2.065000000000005542e+01
-3.450000000000008171e+00,2.055000000000005400e+01
-3.450000000000008171e+00,2.040000000000005542e+01
-3.450000000000008171e+00,2.030000000000005400e+01
-3.450000000000008171e+00,2.020000000000005258e+01
-3.450000000000008171e+00,2.005000000000005400e+01
-3.450000000000008171e+00,1.995000000000005258e+01
-3.450000000000008171e+00,1.985000000000005116e+01
-3.450000000000008171e+00,1.975000000000004974e+01
-3.450000000000008171e+00,1.960000000000005471e+01
-3.450000000000008171e+00,1.950000000000005329e+01
-3.450000000000008171e+00,1.935000000000005116e+01
-3.450000000000008171e+00,1.920000000000005258e+01
-3.450000000000008171e+00,1.910000000000005116e+01
-3.450000000000008171e+00,1.900000000000004974e+01
-3.450000000000008171e+00,1.885000000000005116e+01
-3.450000000000008171e+00,1.875000000000004974e+01
-3.450000000000008171e+00,1.860000000000005116e+01
-3.450000000000008171e+00,1.850000000000004974e+01
-3.450000000000008171e+00,1.835000000000005116e+01
-3.450000000000008171e+00,1.825000000000004974e+01
-3.450000000000008171e+00,1.815000000000004832e+01
-3.450000000000008171e+00,1.800000000000004974e+01
-3.450000000000008171e+00,1.790000000000004832e+01
-3.450000000000008171e+00,1.780000000000004690e+01
-3.450000000000008171e+00,1.765000000000004832e+01
-3.450000000000008171e+00,1.755000000000004690e+01
-3.450000000000008171e+00,1.745000000000004547e+01
-3.445804195804203829e+00,1.730000000000004690e+01
-3.455128205128214169e+00,1.720000000000004547e+01
-3.459790209790218007e+00,1.710000000000004405e+01
-3.459790209790218007e+00,1.700000000000004619e+01
-3.455128205128214169e+00,1.690000000000004832e+01
-3.445804195804203829e+00,1.680000000000004690e+01
-3.450000000000008171e+00,1.670000000000004547e+01
-3.450000000000008171e+00,1.660000000000004405e+01
-3.450000000000008171e+00,1.645000000000004547e+01
-3.450000000000008171e+00,1.635000000000004405e+01
-3.450000000000008171e+00,1.625000000000004263e+01
-3.450000000000008171e+00,1.615000000000004121e+01
-3.450000000000008171e+00,1.600000000000004263e+01
-3.450000000000008171e+00,1.585000000000004405e+01
-3.450000000000008171e+00,1.575000000000004263e+01
-3.450000000000008171e+00,1.565000000000004121e+01
-3.450000000000008171e+00,1.550000000000004263e+01
-3.450000000000008171e+00,1.540000000000004121e+01
-3.450000000000008171e+00,1.525000000000004263e+01
-3.450000000000008171e+00,1.515000000000004121e+01
-3.450000000000008171e+00,1.505000000000003979e+01
-3.450000000000008171e+00,1.495000000000003837e+01
-3.450000000000008171e+00,1.480000000000003979e+01
-3.450000000000008171e+00,1.465000000000003944e+01
-3.450000000000008171e+00,1.450000000000003908e+01
-3.450000000000008171e+00,1.435000000000003872e+01
-3.450000000000008171e+00,1.420000000000003837e+01
-3.450000000000008171e+00,1.405000000000003801e+01
-3.450000000000008171e+00,1.390000000000003766e+01
-3.450000000000008171e+00,1.375000000000003908e+01
-3.450000000000008171e+00,1.365000000000003766e+01
-3.450000000000008171e+00,1.355000000000003624e+01
-3.450000000000008171e+00,1.340000000000003766e+01
-3.450000000000008171e+00,1.330000000000003624e+01
-3.450000000000008171e+00,1.320000000000003482e+01
-3.450000000000008171e+00,1.305000000000003624e+01
-3.450000000000008171e+00,1.295000000000003482e+01
-3.450000000000008171e+00,1.285000000000003340e+01
-3.450000000000008171e+00,1.270000000000003482e+01
-3.450000000000008171e+00,1.255000000000003268e+01
